hour,total_carts,converted,abandonment_rate
0,2643,1115,57.81
1,5147,2121,58.79
2,11780,5460,53.65
3,22533,11862,47.36
4,30669,16481,46.26
5,36172,19527,46.02
6,39722,21541,45.77
7,40496,21831,46.09
8,42198,22869,45.81
9,41957,22793,45.68
10,40201,21511,46.49
11,37503,19698,47.48
12,34501,17721,48.64
13,32820,16308,50.31
14,31364,14936,52.38
15,31332,14732,52.98
16,29467,13690,53.54
17,25038,11560,53.83
18,19880,9235,53.55
19,13232,6405,51.59
20,7672,3768,50.89
21,4649,2412,48.12
22,2903,1420,51.09
23,2165,1086,49.84
