product_id,category_code,brand,price,times_abandoned,potential_revenue_lost,label
1004856,electronics.smartphone,samsung,131.53,3185,418923.05,"Samsung
$131.53"
1004856,electronics.smartphone,samsung,131.64,2919,384257.16,"Samsung
$131.64"
1004856,electronics.smartphone,samsung,130.99,2434,318829.66,"Samsung
$130.99"
1005115,electronics.smartphone,apple,975.56,2001,1952095.56,"Apple
$975.56"
1801690,electronics.video.tv,samsung,369.37,1798,664127.26,"Samsung
$369.37"
1002633,electronics.smartphone,apple,358.57,1780,638254.6,"Apple
$358.57"
1004856,electronics.smartphone,samsung,131.51,1621,213177.71,"Samsung
$131.51"
1004777,electronics.smartphone,xiaomi,135.01,1575,212640.75,"Xiaomi
$135.01"
1004741,electronics.smartphone,xiaomi,189.97,1566,297493.02,"Xiaomi
$189.97"
1004741,electronics.smartphone,xiaomi,190.22,1561,296933.42,"Xiaomi
$190.22"
